Organization Name,Website,Country/Region of Origin,Country/Region Where They Operate,Description
Lasagna Love,www.lasagnalove.org,Global,"USA, Canada, Australia","Lasagna Love is a global nonprofit and grassroots movement started during the pandemic to connect neighbors through homemade meal delivery. The organization has delivered over 350,000 lasagnas to more than 1.5 million individuals, addressing food insecurity and providing acts of love and kindness."
Akshaya Patra,www.akshayapatra.org,India,"India (12 states and 2 union territories; 19,039 schools)","The Akshaya Patra is an Indian NGO established in 2000 to eliminate classroom hunger by implementing the Mid-Day Meal Scheme program in government-funded schools in India. It serves wholesome food every school day to over 1.8 million children from 16,856 schools."
Care,www.care.org,Global,More than 100 countries,"Care is a global organization dedicated to ending poverty and protecting dignity. It focuses on saving lives, defeating poverty, achieving social justice, improving nutrition, and empowering women through programs like ""She Feeds the World."" One goal is to help 50 million poor and vulnerable people improve their nutrition and food security."
Clean Cooking Alliance,www.cleancookingalliance.org,Global,"Global (More than 1,700 partners)","The Clean Cooking Alliance works with partners to make clean cooking accessible, as three billion people depend on open fires and inefficient stoves. Achieving universal access to clean cooking solutions requires innovative technologies and business models."
Rise Against Hunger,www.riseagainsthunger.org,Global,Global (6 countries; meal packaging locations),"Rise Against Hunger aims to end hunger by providing food and aid to vulnerable people. It mobilizes a network of meal packaging volunteers and distributes meals through local partners, promoting education, health, nutrition, economic growth, and responding to emergencies and natural disasters."
SPOON,www.spoonfoundation.org,Global,16 countries,"Established in 2007. SPOON focuses on nutrition and feeding for children with disabilities and without family care. It advocates for better policies, designs guidelines, and offers recommendations through programs like ""Count Me In,"" resulting in better health and quality of life for children."
UNICEF,www.unicef.org,"New York, USA (founded by UN)",More than 190 countries and territories,"UNICEF is one of the largest UN agencies dedicated to helping children in need. Operates in 190+ countries, focusing on child survival, nutrition programs, emergency feeding during famine and disaster, nutrition education, and is a leading supplier of food for malnourished children."
Meals on Wheels America,www.mealsonwheelsamerica.org,"Philadelphia, Pennsylvania, USA",Virtually every community in the United States,"Supports 5,000+ community programs addressing hunger and isolation of seniors in the US. Distributes approximately one million meals daily to seniors and adults with disabilities."
Project Concern International,www.pciglobal.org,"San Diego, California, USA","15 countries across Asia, Africa, and the Americas","Implements food security programs to ensure sustainable solutions. Addresses food security pillars through climate-smart agriculture, livelihood security, market access, health, nutrition, and hygiene. Driven by community engagement and sustainability."
Penny Appeal USA,www.pennyappealusa.org,"United Kingdom (Penny Appeal family), USA (Penny Appeal USA)",More than 30 countries including the United States (Feed Our World Program),"Non-profit development organization working to alleviate poverty through sustainable programs. Implements the Feed Our World Program, providing nutritious meals in 30+ countries."
Alliance to End Hunger,www.alliancetoendhunger.org,"Washington, DC, USA",USA and abroad,"Established in 2001, unites 90+ members including NGOs, corporations, individuals to address hunger and malnutrition. Works to foster strategic partnerships, build political commitment, support local coalitions, and engage global advocates."
Feed the Children,www.feedthechildren.org,USA,"US, Guatemala, Haiti, Honduras, Kenya, Nicaragua, Malawi, Tanzania, Uganda, Ethiopia, El Salvador","Founded in 1979, focusing on reducing childhood hunger. Active in the US and several countries worldwide, emphasizing food and nutrition, health and water, education, and livelihoods. Works with vulnerable children and communities to improve social, economic, cultural, and environmental conditions."
Food for the Hungry,www.fhcanada.org,USA,"Over 20 countries including Bangladesh, Bolivia, Burundi, Cambodia, DR Congo, Ethiopia, Kenya, Mozambique, Peru, Rwanda, Uganda","Founded in 1971, seeks to end all forms of human poverty. Provides life-changing resources such as food, water, medical aid, education, and vocational training. Improves livelihoods through agricultural practices."
CARITAS International,www.caritas.us,Rome (HQ),More than 200 countries and territories,"Confederation of 160+ members working globally. Advocates for the right to food, promotes rural development and agriculture, addresses climate change, and provides emergency food distribution. Teaches communities about eating well and growing the right food."
Seed Programs International,www.seedprograms.org,USA,"More than 60 countries across Africa, Asia, Latin America, and the Caribbean","Founded in 1998, provides quality seeds and agricultural training to humanitarian organizations. Enables people to grow vegetables rich in micronutrients to reduce hunger and improve nutrition."
Association for International Agriculture and Rural Development (AIARD),www.aiard.info,USA,Represents professionals in the US and overseas,"Founded in 1964, mobilizes support for international agriculture and rural development. Influences policy, informs on effective strategies, promotes interaction, and expands abilities to implement development programs."
Cultivating New Frontiers in Agriculture,www.cnfa.org,"Washington, DC, USA","Middle East, Eastern Europe, Caucasus, Africa, Caribbean, South and Central Asia","Founded in 1985, assists farmers and rural entrepreneurs to increase and sustain rural incomes. Works with communities, businesses, governments, and foundations to meet growing demands for food."
